"Search Parameters"	"Year"	"Mo"	"Dy"	"Hr"	"Mn"	"Sec"	"Tsu"	"Vol"	"Location Name"	"Latitude"	"Longitude"	"Focal Depth (km)"	"Mag"	"MMI Int"	"Deaths"	"Death Description"	"Missing"	"Missing Description"	"Injuries"	"Injuries Description"	"Damage ($Mil)"	"Damage Description"	"Houses Destroyed"	"Houses Destroyed Description"	"Houses Damaged"	"Houses Damaged Description"	"Total Deaths"	"Total Death Description"	"Total Missing"	"Total Missing Description"	"Total Injuries"	"Total Injuries Description"	"Total Damage ($Mil)"	"Total Damage Description"	"Total Houses Destroyed"	"Total Houses Destroyed Description"	"Total Houses Damaged"	"Total Houses Damaged Description"
"[""Region = S. and SE. Asia and Indian Ocean""]"																																						
	-326	11					5282		"INDIA:  KUTCH"	23	71																							1				
	25					0			"PAKISTAN"	33	72											3																
	460	7	22						"THAILAND:  YONOK-NAGABANDHU"	20.3	100			12		3						3						3						3				
	1072								"YEMEN:  SANA, ZABID; SAUDI ARABIA:  MECCA"	14.2	43.3			8	50	1						2		2		2	50	1						2		2		
	1255	6	7						"NEPAL:  KATHMANDU"	27.7	85.3					3						3		3				3						3		3		
	1358								"YEMEN:  ZABID,SANA,ADAN"	14.1	43.2			8	61	2						2																
	1377								"YEMEN:  ADEN (ADAN)"	12.4	45.1											2																
	1387	9	5						"YEMEN:  ADEN (ADAN)"	12.4	45.1					3						3						3						3				
	1426								"YEMEN:  ZABID,BAHRAIN"	14.1	43.2			11	60	2						3																
	1463								"YEMEN:  ZABID"	14.1	43.2			9	10	1							50	1	50	1	10	1						1	50	1		
	1501	9	24						"INDIA:  KASHMIR:  SRINAGAR"	34.1	74.8			7								2		2										2		2		
	1505	6	6						"NEPAL-INDIA"	29.5	83		8.2			3						3		3				3						3		3		
	1524						3648		"INDIA:  DABUL"	17	73.2																							1				
	1555	9							"INDIA:  KASHMIR:  SRINAGAR"	33.5	75.5		7.6	12		3						3		3				3						3		3		
	1618	5	26						"INDIA:  BOMBAY"	18.9	72.9			9	2000	4						3					2000	4						3				
	1668	5	2						"PAKISTAN:  INDUS DELTA; INDIA: SAMAWANI (SAMAJI)"	24	68	10										3	30000	4										3	30000	4		
	1669	6	4						"INDIA:  FORT MADRAN"					11																								
	1678								"INDIA:  KASHMIR:  SRINAGAR"	34.1	74.8			7		2						2		2				2						2		2		
	1679	9	21					4969	"YEMEN:  AL MUKHA"	13.3	43.3											1												1				
	1681	12	11				5302		"INDONESIA:  SUMATRA:  MENTAWAI ISLANDS"																													
	1688	5				0			"PAKISTAN:  DELTA OF THE INDUS"	24	68											3																
	1713								"INDIA:  ARUNACHAL; BHUTAN"	27.5	93					3						3		3				3						3		3		
	1714	8	4				3351		"MYNAMAR (BURMA):  AVA (INNWA)"	21.85	95.967																											
	1720	7	15						"INDIA:  DELHI"	29	77.5					3						2																
	1722	10					392		"INDONESIA:  JAVA: DJAKARTA (JAKARTA)"	-6.174	106.829			9																								
	1737	10	11				2691		"INDIA:  CALCUTTA"																													
	1750						434		"MYANMAR (BURMA) COAST"	18.5	93.4																											
	1757	8	24				465		"INDONESIA:  JAKARTA"	-6	107		7.5																									
	1762	4	2				471		"BANGLADESH:  CHITTAGONG, DACCA, ARRACAN"	22	92			11	200	3						3						3						3				
	1770						500		"INDONESIA:  SUMATRA:"	-5	102		7									3		3										3		3		
	1784	11							"INDIA:  KASHMIR:  SRINAGAR"	34.1	74.8			8		3						2		2				3						2		2		
	1797	2	10				576		"SW. SUMATRA"	0.001	99		8	9								1					300	3						2		3		
	1803	9	1			0			"INDIA:  UTTARAKHAND, MATHURA (MUTTRA)"	31	79		7.5			3						3		3		3		3						3		3		3
	1814						611		"INDONESIA:  TIMOR ISLAND, KUPANG, KISSAR ISLAND"	-10.217	123.633											3												3				
	1815	11	22				615		"INDONESIA:  BALI"	-8	115	150	7	9	10253	4											11453	4										
